,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6485,457774883,06/05/2022,within an hour,80%,51%,1,2,"['email', 'phone']",Maxvorstadt,48.1508652,11.5733316,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Washer"", ""Kitchen"", ""Wifi"", ""Host greets you""]",$200.00,1,365,1.0,365.0,t,20,50,80,258,8,8,1,24/06/2024,01/09/2024,3.88,4.63,3.88,4.88,4.0,4.5,3.75,f,1,1,0,0,2.55
6486,440897264,17/01/2022,within a few hours,100%,78%,2,2,['phone'],Obergiesing,48.10287107,11.59135871,Private room in guesthouse,Private room,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Washer"", ""Kitchen"", ""Wifi""]",$97.00,2,365,2.0,365.0,t,19,26,26,26,5,5,0,21/06/2024,28/07/2024,4.6,4.8,4.4,4.4,4.8,4.8,4.2,f,1,0,1,0,1.55
6487,86653560,29/07/2016,within a few hours,100%,100%,1,1,['phone'],Laim,48.13536599,11.51412953,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Toaster"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Blender"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Hangers"", ""TV"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Clothing storage: dresser""]",$120.00,2,5,2.0,5.0,t,0,21,51,51,1,1,0,29/07/2024,29/07/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.51
6488,148225975,29/08/2017,a few days or more,0%,11%,1,1,"['email', 'phone']",Bogenhausen,48.16924653,11.63706001,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Piano"", ""BBQ grill"", ""TV"", ""Washer"", ""Garden view"", ""Park view"", ""Outdoor dining area"", ""Kitchen"", ""Lock on bedroom door"", ""Wifi"", ""Host greets you""]",$160.00,1,365,1.0,365.0,t,26,56,85,360,1,1,0,21/06/2024,21/06/2024,5.0,4.0,4.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.31
6489,218290779,01/10/2018,within a day,100%,48%,1,2,"['email', 'phone']",Schwabing-West,48.16099093,11.57682659,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Bathtub"", ""Elevator"", ""Cooking basics"", ""Oven"", ""Washer"", ""Pets allowed"", ""Extra pillows and blankets"", ""Single level home"", ""Dining table"", ""Dishwasher"", ""Kitchen"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Wifi"", ""Other induction stove""]",$156.00,1,2,1.0,2.0,t,8,9,9,9,10,10,0,11/07/2024,17/08/2024,5.0,4.9,4.9,4.6,4.8,4.9,4.7,f,1,0,1,0,3.9
6491,1003286,22/08/2011,within a few hours,67%,60%,1,1,"['email', 'phone']",Milbertshofen-Am Hart,48.1846361,11.5499988,Private room in rental unit,Private room,2,2.0,2 baths,1.0,2.0,"[""Smoke alarm"", ""Bathtub"", ""Dedicated workspace"", ""Hot water"", ""Heating"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""Wifi"", ""Bed linens""]",$140.00,1,365,1.0,365.0,t,26,56,86,361,1,1,0,18/08/2024,18/08/2024,3.0,3.0,3.0,5.0,5.0,5.0,3.0,f,1,0,1,0,0.77
6492,525407974,13/07/2023,within a few hours,81%,20%,10,18,"['email', 'phone']",Sendling,48.12508437,11.5406379,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Keypad"", ""Self check-in"", ""Wine glasses"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Coffee maker: Nespresso"", ""Freezer"", ""DM body soap"", ""Electric stove"", ""Shower gel"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Central heating"", ""Paid parking on premises"", ""DM conditioner"", ""Dining table"", ""Clothing storage: closet and wardrobe"", ""Kitchen"", ""Wifi"", ""Mini fridge""]",$189.00,1,365,1.0,365.0,t,21,51,81,356,3,3,0,28/07/2024,24/08/2024,4.67,5.0,5.0,5.0,5.0,5.0,4.0,f,9,7,2,0,1.5
6493,584021197,17/06/2024,within an hour,100%,100%,1,1,"['email', 'phone']",Tudering-Riem,48.1174102,11.6997758,Private room in home,Private room,2,0.5,Shared half-bath,1.0,1.0,"[""Heating"", ""Free parking on premises"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""Iron"", ""Lock on bedroom door"", ""Bathtub"", ""Hot water"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Pets allowed"", ""Essentials"", ""Smoke alarm"", ""Wifi"", ""Body soap""]",$130.00,1,14,1.0,14.0,t,26,56,86,86,4,4,1,18/08/2024,31/08/2024,5.0,5.0,4.75,5.0,5.0,4.75,4.75,f,1,0,1,0,3.08
6494,257757241,24/04/2019,within a few hours,100%,64%,1,1,"['email', 'phone']",Hadern,48.12377188,11.4818255,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Heating"", ""Shared backyard"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Outdoor playground"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Microwave"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Hot water"", ""Clothing storage"", ""Pets allowed"", ""Coffee"", ""Essentials"", ""Smoke alarm"", ""Dining table"", ""Outdoor dining area"", ""Wifi"", ""Mini fridge"", ""Body soap""]",$95.00,1,365,1.0,365.0,t,11,41,71,161,9,9,1,21/06/2024,01/09/2024,4.89,5.0,4.89,4.89,5.0,4.78,4.78,f,1,0,1,0,2.78
6496,2541298,04/06/2012,within an hour,100%,88%,2,2,"['email', 'phone']",Obergiesing,48.11288,11.57873,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Hot water kettle"", ""Fast wifi \u2013 101 Mbps"", ""Lockbox"", ""Self check-in"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""TV"", ""Washer"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Game console: PS4"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Oven"", ""Hair dryer"", ""Other stove"", ""Essentials"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Toaster""]",$131.00,2,10,2.0,1125.0,t,1,10,26,86,4,4,1,09/08/2024,23/09/2024,5.0,5.0,5.0,5.0,5.0,4.67,4.67,t,2,1,1,0,2.5
6498,209807286,15/08/2018,within an hour,100%,99%,2,2,['phone'],Neuhausen-Nymphenburg,48.1650543,11.52906851,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Free parking on premises"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Room-darkening shades"", ""Hot water"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Pets allowed"", ""Essentials"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Body soap""]",$136.00,1,365,1.0,365.0,t,13,28,34,188,24,24,4,28/06/2024,08/09/2024,4.67,4.92,4.71,4.88,4.83,4.79,4.79,t,1,1,0,0,8.0
6499,783473,06/07/2011,a few days or more,20%,13%,1,1,"['email', 'phone']",Altstadt-Lehel,48.13459,11.58433,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,3.0,"[""Outlet covers"", ""Hot water kettle"", ""Single level home"", ""Coffee maker: espresso machine"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Standalone high chair - always at the listing"", ""Cleaning products"", ""TV"", ""Washer"", ""Laundromat nearby"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Changing table - always at the listing"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Conditioner"", ""Dishwasher"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Shampoo"", ""Crib - always at the listing"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""Piano"", ""Central heating"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$250.00,7,365,7.0,365.0,t,0,0,0,228,1,1,0,19/06/2024,19/06/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.3
6502,584189964,18/06/2024,a few days or more,10%,44%,1,1,"['email', 'phone']",Laim,48.1315437,11.4999365,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Free parking on premises"", ""Host greets you"", ""Kitchen"", ""Washer""]",$60.00,2,365,2.0,365.0,t,14,44,68,343,1,1,1,26/08/2024,26/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,1.0
6505,584215384,18/06/2024,within a day,100%,100%,1,1,"['email', 'phone']",Pasing-Obermenzing,48.14563,11.47015,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Outdoor furniture"", ""Heating"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Coffee maker: Nespresso"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Smoke alarm"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap""]",$100.00,4,60,4.0,60.0,t,7,32,56,281,2,2,0,21/07/2024,05/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.9
6506,582709226,10/06/2024,within an hour,100%,33%,1,1,['phone'],Bogenhausen,48.1621945,11.6248343,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""BBQ grill"", ""Washer"", ""Free parking on premises"", ""Kitchen"", ""Wifi""]",$180.00,1,365,1.0,365.0,t,0,0,0,82,1,1,0,26/06/2024,26/06/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.33
6507,411515691,07/07/2021,within an hour,100%,100%,2,2,"['email', 'phone']",Aubing-Lochhausen-Langwied,48.144863,11.4082699,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Dishes and silverware"", ""Blender"", ""Hanseatic refrigerator"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Outdoor playground"", ""Cleaning products"", ""Dedicated workspace"", ""Hangers"", ""Ethernet connection"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Cooking basics"", ""DM body soap"", ""Hot water"", ""Oven"", ""Electric stove"", ""Clothing storage"", ""Pets allowed"", ""Coffee"", ""Drying rack for clothing"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Host greets you"", ""Wifi""]",$128.00,2,14,2.0,1125.0,t,15,40,67,67,3,3,0,30/07/2024,19/08/2024,4.67,4.33,4.33,5.0,5.0,3.33,4.33,t,1,1,0,0,1.55
6510,584411964,19/06/2024,within an hour,100%,100%,1,1,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.13153024,11.58145261,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Washer"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Air conditioning"", ""Lockbox"", ""Wifi"", ""Kitchen"", ""Self check-in"", ""Pool table"", ""Smoking allowed"", ""Elevator""]",$378.00,1,1125,1.0,1125.0,t,21,51,81,121,6,6,2,04/07/2024,01/09/2024,4.0,4.17,4.17,4.5,4.5,4.67,3.67,f,1,1,0,0,2.14
6512,972251,15/08/2011,within a day,100%,72%,1,1,"['email', 'phone']",Schwabing-West,48.16228,11.56448,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Siemens oven"", ""Hot water kettle"", ""Coffee maker"", ""Liebher refrigerator"", ""Siemens electric stove"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Clothing storage: walk-in closet and dresser"", ""Room-darkening shades"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Cooking basics"", ""Hair dryer"", ""Dishwasher"", ""Dryer \u2013 In building"", ""Drying rack for clothing"", ""Baking sheet"", ""Central heating"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Toaster""]",$115.00,3,28,3.0,28.0,t,4,4,4,14,10,10,3,12/07/2024,14/09/2024,5.0,5.0,5.0,5.0,5.0,4.6,4.9,f,1,1,0,0,3.95
6513,568834686,25/03/2024,within a day,60%,43%,3,4,"['email', 'phone']",Neuhausen-Nymphenburg,48.16503,11.5289,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""TV"", ""Washer"", ""Free parking on premises"", ""Kitchen"", ""Wifi""]",$186.00,1,365,1.0,365.0,t,25,53,83,357,1,1,0,04/08/2024,04/08/2024,5.0,5.0,5.0,5.0,4.0,5.0,5.0,f,1,1,0,0,0.57
6514,230745129,15/12/2018,within a few hours,80%,50%,1,1,"['email', 'phone']",Milbertshofen-Am Hart,48.18345016,11.56681399,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Washer"", ""Lockbox"", ""Self check-in"", ""Kitchen"", ""Wifi""]",$159.00,2,14,2.0,14.0,t,19,49,79,118,4,4,0,11/07/2024,18/08/2024,5.0,5.0,5.0,4.5,5.0,5.0,5.0,f,1,1,0,0,1.56
6515,56719709,30/01/2016,within an hour,100%,98%,2,2,"['email', 'phone']",Schwabing-Freimann,48.17622945,11.58636931,Private room in condo,Private room,2,2.0,2 shared baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Lake access"", ""Stainless steel electric stove"", ""Exercise equipment"", ""Microwave"", ""Iron"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Rice maker"", ""Trash compactor"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Stainless steel double oven"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Private living room"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Bidet"", ""Dining table"", ""Bread maker"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Bikes""]",$93.00,1,30,1.0,30.0,t,3,14,44,52,8,8,2,27/06/2024,01/09/2024,4.75,4.75,4.5,4.88,4.75,4.63,4.63,f,2,0,2,0,2.64
6520,140997605,17/07/2017,within an hour,100%,83%,1,1,"['email', 'phone']",Schwabing-West,48.17647,11.57436,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Other stove"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Free dryer"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$299.00,1,365,1.1,365.0,t,26,53,83,358,5,5,1,03/07/2024,02/09/2024,5.0,5.0,5.0,5.0,4.8,4.6,4.8,f,1,1,0,0,1.76
6524,28224479,23/02/2015,within a few hours,70%,46%,2,2,"['email', 'phone']",Schwabing-West,48.16005591,11.5653085,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Washer""]",$72.00,2,365,2.0,365.0,t,0,0,0,31,1,1,0,28/07/2024,28/07/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,0,2,0,0.5
6525,35767153,14/06/2015,within an hour,100%,95%,3,5,"['email', 'phone']",Neuhausen-Nymphenburg,48.16469,11.53347,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Hot water kettle"", ""Host greets you"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Lock on bedroom door"", ""Rice maker"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Coffee"", ""Long term stays allowed"", ""Smoke alarm"", ""Central heating"", ""Paid washer \u2013 In building"", ""Bosch oven"", ""Kitchen"", ""Wifi"", ""Toaster""]",$75.00,3,365,3.0,365.0,t,12,19,35,35,7,7,1,28/06/2024,19/09/2024,5.0,5.0,5.0,5.0,5.0,4.86,5.0,f,3,0,3,0,2.33
6526,35767153,14/06/2015,within an hour,100%,95%,3,5,"['email', 'phone']",Neuhausen-Nymphenburg,48.16582,11.53328,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Bathtub"", ""Central heating"", ""Hangers"", ""Dedicated workspace"", ""Hot water"", ""Washer"", ""Hot water kettle"", ""Bosch oven"", ""Coffee"", ""Kitchen"", ""Lock on bedroom door"", ""Free street parking"", ""Wifi"", ""Clothing storage: wardrobe"", ""Host greets you"", ""Elevator""]",$88.00,3,365,3.0,365.0,t,14,21,38,38,4,4,0,17/07/2024,16/08/2024,4.75,5.0,4.25,4.75,5.0,5.0,5.0,f,3,0,3,0,1.69
6531,585063103,22/06/2024,within an hour,90%,100%,4,4,"['email', 'phone']",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08994864,11.52106263,Entire rental unit,Entire home/apt,12,1.5,1.5 baths,1.0,6.0,"[""Heating"", ""Hot water kettle"", ""Single level home"", ""Keypad"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Exterior security cameras on property"", ""Toaster""]",$354.00,1,365,1.0,365.0,t,2,2,2,2,1,1,0,04/08/2024,04/08/2024,4.0,5.0,4.0,5.0,5.0,5.0,4.0,f,3,3,0,0,0.57
6532,24812785,14/12/2014,within a day,90%,57%,1,3,"['email', 'phone']",Sendling,48.11320341,11.54903216,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Hair dryer"", ""First aid kit"", ""Lock on bedroom door"", ""Wifi"", ""Host greets you""]",$61.00,1,365,1.0,365.0,t,1,2,2,2,2,2,1,28/07/2024,01/09/2024,5.0,4.5,5.0,5.0,4.5,5.0,5.0,f,1,0,1,0,1.0
6533,426287122,07/10/2021,within an hour,100%,100%,1,1,"['email', 'phone']",Berg am Laim,48.1306386,11.6188371,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Backyard"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""TV"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Free residential garage on premises"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Coffee"", ""Other electric stove"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$178.00,2,30,2.0,30.0,t,9,9,9,91,10,10,2,27/07/2024,22/09/2024,4.9,4.9,4.8,4.7,5.0,4.7,4.7,t,1,1,0,0,4.92
6534,147931270,27/08/2017,within a day,90%,74%,2,2,"['email', 'phone']",Neuhausen-Nymphenburg,48.1545084,11.5375567,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Lock on bedroom door""]",$108.00,1,365,1.0,365.0,t,26,50,50,140,2,2,0,17/08/2024,25/08/2024,3.5,4.5,3.0,4.5,4.5,4.5,3.5,f,2,0,2,0,1.5
6535,177319618,08/03/2018,within an hour,100%,22%,2,3,"['email', 'phone']",Untergiesing-Harlaching,48.10829141,11.56599971,Private room in rental unit,Private room,4,1.0,1 shared bath,1.0,2.0,"[""Shared backyard"", ""Hot water kettle"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Housekeeping available 3 days a week - available at extra cost"", ""Freezer"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Coffee"", ""Conditioner"", ""Dishwasher"", ""Other electric stove"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Central heating"", ""Paid parking on premises"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$163.00,1,365,1.0,365.0,t,22,52,82,357,8,8,1,27/06/2024,05/09/2024,4.88,4.88,5.0,5.0,5.0,4.75,4.5,f,2,0,2,0,2.64
6536,581900307,06/06/2024,within an hour,100%,83%,1,1,"['email', 'phone']",Milbertshofen-Am Hart,48.212075,11.5674159,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,1.0,"[""Smoke alarm"", ""Free parking on premises"", ""Kitchen""]",$260.00,1,31,1.0,31.0,t,0,0,0,52,2,2,0,18/08/2024,25/08/2024,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,1,1,0,0,1.54
6537,34944391,03/06/2015,within a day,50%,40%,1,1,"['email', 'phone']",Maxvorstadt,48.144762,11.5603048,Private room in rental unit,Private room,2,0.5,Shared half-bath,1.0,1.0,"[""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Washer"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Kitchen"", ""Wifi"", ""Body soap""]",$250.00,1,365,1.0,365.0,t,21,51,81,356,3,3,1,10/08/2024,08/09/2024,5.0,5.0,5.0,5.0,5.0,4.67,5.0,f,1,0,1,0,1.91
